StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q0b,Q1a,Q1b,Q1b_5_TEXT,Q1b_5_OTHER_CAT,Q1c,Q1c_4_TEXT,Q1c_4_OTHER_CAT,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q2_22,Q2_23,Q3a_1,Q3b,Q3c_1,Q3d,Q4a,Q4a_4_TEXT,Q4a_4_Category,Q4b,Q4b_4_TEXT,Q4b_4_Category,Q4c,Q5a,Q5a_7_TEXT,Q5b,Q5b_4_TEXT,Q5c,Q5d,Q5e,Q5f,Q6 - REDACTED,Q4b_4_TEXT - Topics
3/31/18 15:20,3/31/18 15:30,IP Address,100,595,TRUE,3/31/18 15:30,R_2QggJx4sYaEDdDy,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"Not enough information (e.g. effectiveness, prevalence)",Cost-effectiveness is incomplete information,Other, these are extreme options...I would only fund it given other factors were reviewed by insurer and deemed overall favorable,Other,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,Neutral,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt nearly equal about both answer choices,I have never contributed to a cost-effectiveness analysis.,,,,,,,Post-doc/Research scientist,,Male,,25-40,10-May,0,,,
3/27/18 22:32,3/27/18 22:46,IP Address,100,828,TRUE,3/27/18 22:46,R_216boCIikCIzzNi,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"Drug X is cost-effective, but uncertain if affordable, so would need to reallocate OR increase budget",Increase budget or reallocate (add the reallocation to main category),Other,"Ask for evidence of target population where Drug X is most effective, and fund Drug X for that smaller sub-population where it would be cost-effective and affordable. Then expand to all when price is lower or competitors.",(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt nearly equal about both answer choices,3x GDP,,,It is the convention in the literature.,,Convention,A combination of both,PhD Student,,Female,,25-40,5-Jan,5+,A combination of both,,
3/29/18 7:47,3/29/18 7:57,IP Address,100,604,TRUE,3/29/18 7:57,R_3Ibocp5Nfkm1Q5t,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Can we please have some more info on what drugs or programs would have to be de-funded if we were to fund drug x?,(Other) Use shopping spree on Medicaid budget,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt nearly equal about both answer choices,Other,"Considered a range of thresholds, some of which were not GDP-driven",None/Other,Other,It helps decision makers see how their choices might vary in the face of uncertainty in the WTP threshold.,None/Other,Low- and middle-income countries,Professor,,Male,,40-60,10+,5+,A combination of both,,
3/27/18 20:24,3/27/18 21:06,IP Address,100,2540,TRUE,3/27/18 21:06,R_1QK2Hvi2HcPK6RQ,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Compare with other programs and see if Drug X can be rearranged within the budget limit to maximize the health gain within the budget. ,(Other) Use shopping spree on Medicaid budget,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,Other,50000-100000,"1x GDP, 2x GDP",It is the convention in the literature.,,Convention,High-income countries,PhD Student,,Female,,25-40,5-Jan,5-Mar,High-income countries,,
4/11/18 11:26,4/11/18 11:46,IP Address,100,1151,TRUE,4/11/18 11:46,R_12nbtdmOtQLMtpK,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,Conduct a budget impact assessment,Other,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Neutral,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,~2X per capita GDP (US),2x GDP,It is the convention in the literature.,,Convention,High-income countries,Post-doc/Research scientist,,Prefer not to say,,25-40,5-Jan,5-Mar,A combination of both,,
4/2/18 12:05,4/3/18 10:34,IP Address,100,80950,TRUE,4/3/18 10:34,R_3dSQ0wSHjPZX2Ql,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,"Conduct budget impact analysis, identify what could be defunded. Assess cost-effectiveness of different population sub-groups - may be possible to adopt initially for certain sub-groups without significant budget impact",(Other) Identify subpopulations that would benefit most; (Other) Adjust budget,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt nearly equal about both answer choices,Other,Country-level threshold (Woods et al 2016),Empirical,It is approximately the true WTP according to the current budget.,,Budget WTP,Low- and middle-income countries,Post-doc/Research scientist,,Male,,25-40,5-Jan,5-Mar,Low- and middle-income countries,,
3/29/18 18:53,3/29/18 19:00,IP Address,100,464,TRUE,3/29/18 19:00,R_sbx1pwbqBYenmtr,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,Create a managed access agreement and divide funding over multiple years,(Other) Negotiate price/Novel payment mechanisms,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,"Â£20,000/QALY which has been shown to be too damn high through empirical research. WHO multipliers are stupid.",Institutional,Other,NICE.,Convention,High-income countries,Government,,Male,,25-40,10-May,5+,High-income countries,,
4/18/18 5:37,4/18/18 6:45,IP Address,100,4037,TRUE,4/18/18 6:45,R_zVfJ8frXSUFxra1,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,"Decide how much to spend on drug X, then identify patients who would benefit the most from drug X and fund drug X for these patients only",(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,"1x GDP,3x GDP",,,It is the convention in the literature.,,Convention,High-income countries,Professor,,Female,,25-40,10-May,5+,A combination of both,,
3/27/18 13:11,3/27/18 13:18,IP Address,100,441,TRUE,3/27/18 13:18,R_3oZrhojkQuB5OBt,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Determine how much of the budget can be spent on the one drug. Determine criteria for who would benefit most. Fund for those who most meet criteria until funding limit is reached.,(Other) Identify subpopulations that would benefit most,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Completely agree with the option I chose,Other,I'm not sure.,None/Other,,,,High-income countries,Professor,,Male,,40-60,10-May,2-Jan,High-income countries,,
3/27/18 20:52,3/27/18 20:59,IP Address,100,428,TRUE,3/27/18 20:59,R_2QQB3gnPrs4pgf8,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,Determine the characteristics of those in greatest need. Conduct a budget impact analysis to determine how far the funds will stretch.,(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,3x GDP,,,It is approximately the true societal WTP.,,Societal WTP,High-income countries,Professor,,Prefer not to say,,40-60,10+,5+,High-income countries,,
